  Distance(mm)      Deflection(mm)      Bending Moment(Nmm)     Shear Force(N)
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -160000.000     Shear Force, S(N)=  -80.0000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   2.83333320E-05 Bending Moment, M(Nmm)=  -200000.000     Shear Force, S(N)=  -200.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   3.16799997E-05 Bending Moment, M(Nmm)=  -128000.000     Shear Force, S(N)=  -160.000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   3.44399996E-05 Bending Moment, M(Nmm)=  -72000.0000     Shear Force, S(N)=  -120.000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   3.66933309E-05 Bending Moment, M(Nmm)=  -32000.0000     Shear Force, S(N)=  -80.0000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   3.85200001E-05 Bending Moment, M(Nmm)=  -8000.00000     Shear Force, S(N)=  -40.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   3.99999990E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -960000.000     Shear Force, S(N)=  -480.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   8.97599966E-06 Bending Moment, M(Nmm)=  -777600.000     Shear Force, S(N)=  -432.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   1.67679991E-05 Bending Moment, M(Nmm)=  -614400.000     Shear Force, S(N)=  -384.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   2.34719992E-05 Bending Moment, M(Nmm)=  -470400.000     Shear Force, S(N)=  -336.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   2.91839988E-05 Bending Moment, M(Nmm)=  -345600.000     Shear Force, S(N)=  -288.000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   3.40000006E-05 Bending Moment, M(Nmm)=  -240000.000     Shear Force, S(N)=  -240.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   3.80159981E-05 Bending Moment, M(Nmm)=  -153600.000     Shear Force, S(N)=  -192.000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   4.13279995E-05 Bending Moment, M(Nmm)=  -86400.0000     Shear Force, S(N)=  -144.000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   4.40320000E-05 Bending Moment, M(Nmm)=  -38400.0000     Shear Force, S(N)=  -96.0000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   4.62239987E-05 Bending Moment, M(Nmm)=  -9600.00000     Shear Force, S(N)=  -48.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   4.79999981E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -1120000.00     Shear Force, S(N)=  -560.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   1.04719993E-05 Bending Moment, M(Nmm)=  -907200.000     Shear Force, S(N)=  -504.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   1.95626653E-05 Bending Moment, M(Nmm)=  -716800.000     Shear Force, S(N)=  -448.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   2.73839996E-05 Bending Moment, M(Nmm)=  -548800.000     Shear Force, S(N)=  -392.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   3.40479965E-05 Bending Moment, M(Nmm)=  -403200.000     Shear Force, S(N)=  -336.000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   3.96666692E-05 Bending Moment, M(Nmm)=  -280000.000     Shear Force, S(N)=  -280.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   4.43520003E-05 Bending Moment, M(Nmm)=  -179200.000     Shear Force, S(N)=  -224.000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   4.82159994E-05 Bending Moment, M(Nmm)=  -100800.000     Shear Force, S(N)=  -168.000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   5.13706618E-05 Bending Moment, M(Nmm)=  -44800.0000     Shear Force, S(N)=  -112.000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   5.39279972E-05 Bending Moment, M(Nmm)=  -11200.0000     Shear Force, S(N)=  -56.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   5.60000008E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -1280000.00     Shear Force, S(N)=  -640.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   1.19679989E-05 Bending Moment, M(Nmm)=  -1036800.00     Shear Force, S(N)=  -576.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   2.23573315E-05 Bending Moment, M(Nmm)=  -819200.000     Shear Force, S(N)=  -512.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   3.12960001E-05 Bending Moment, M(Nmm)=  -627200.000     Shear Force, S(N)=  -448.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   3.89119996E-05 Bending Moment, M(Nmm)=  -460800.000     Shear Force, S(N)=  -384.000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   4.53333305E-05 Bending Moment, M(Nmm)=  -320000.000     Shear Force, S(N)=  -320.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   5.06879987E-05 Bending Moment, M(Nmm)=  -204800.000     Shear Force, S(N)=  -256.000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   5.51039957E-05 Bending Moment, M(Nmm)=  -115200.000     Shear Force, S(N)=  -192.000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   5.87093309E-05 Bending Moment, M(Nmm)=  -51200.0000     Shear Force, S(N)=  -128.000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   6.16319958E-05 Bending Moment, M(Nmm)=  -12800.0000     Shear Force, S(N)=  -64.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   6.39999998E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -1440000.00     Shear Force, S(N)=  -720.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   1.34639995E-05 Bending Moment, M(Nmm)=  -1166400.00     Shear Force, S(N)=  -648.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   2.51519996E-05 Bending Moment, M(Nmm)=  -921600.062     Shear Force, S(N)=  -576.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   3.52080024E-05 Bending Moment, M(Nmm)=  -705600.000     Shear Force, S(N)=  -504.000031    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   4.37759991E-05 Bending Moment, M(Nmm)=  -518400.031     Shear Force, S(N)=  -432.000031    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   5.09999991E-05 Bending Moment, M(Nmm)=  -360000.000     Shear Force, S(N)=  -360.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   5.70240045E-05 Bending Moment, M(Nmm)=  -230400.016     Shear Force, S(N)=  -288.000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   6.19920029E-05 Bending Moment, M(Nmm)=  -129600.008     Shear Force, S(N)=  -216.000015    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   6.60480000E-05 Bending Moment, M(Nmm)=  -57600.0039     Shear Force, S(N)=  -144.000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   6.93359980E-05 Bending Moment, M(Nmm)=  -14400.0010     Shear Force, S(N)=  -72.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   7.20000025E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
 Distance, x(m)=   0.00000000     Deflection, y(m)=   0.00000000     Bending Moment, M(Nmm)=  -1600000.00     Shear Force, S(N)=  -800.000000    
 Distance, x(m)=   400.000000     Deflection, y(m)=   1.49599991E-05 Bending Moment, M(Nmm)=  -1296000.00     Shear Force, S(N)=  -720.000000    
 Distance, x(m)=   800.000000     Deflection, y(m)=   2.79466658E-05 Bending Moment, M(Nmm)=  -1024000.00     Shear Force, S(N)=  -640.000000    
 Distance, x(m)=   1200.00000     Deflection, y(m)=   3.91200010E-05 Bending Moment, M(Nmm)=  -784000.000     Shear Force, S(N)=  -560.000000    
 Distance, x(m)=   1600.00000     Deflection, y(m)=   4.86399986E-05 Bending Moment, M(Nmm)=  -576000.000     Shear Force, S(N)=  -480.000000    
 Distance, x(m)=   2000.00000     Deflection, y(m)=   5.66666640E-05 Bending Moment, M(Nmm)=  -400000.000     Shear Force, S(N)=  -400.000000    
 Distance, x(m)=   2400.00000     Deflection, y(m)=   6.33599993E-05 Bending Moment, M(Nmm)=  -256000.000     Shear Force, S(N)=  -320.000000    
 Distance, x(m)=   2800.00000     Deflection, y(m)=   6.88799992E-05 Bending Moment, M(Nmm)=  -144000.000     Shear Force, S(N)=  -240.000000    
 Distance, x(m)=   3200.00000     Deflection, y(m)=   7.33866618E-05 Bending Moment, M(Nmm)=  -64000.0000     Shear Force, S(N)=  -160.000000    
 Distance, x(m)=   3600.00000     Deflection, y(m)=   7.70400002E-05 Bending Moment, M(Nmm)=  -16000.0000     Shear Force, S(N)=  -80.0000000    
 Distance, x(m)=   4000.00000     Deflection, y(m)=   7.99999980E-05 Bending Moment, M(Nmm)=  -0.00000000     Shear Force, S(N)=  -0.00000000    
